テーマ	役割名	何を	開始時期	終了時期	どうする	評価尺度	目標値
Phase 1: 基盤構築	若手出資者全員	コミュニティ湯処ブランドコンセプト	2026年3月1日	2026年3月31日	ブランド構築ワークショップを開催し、ブランドコンセプト・名称・ビジュアルを共創する	ワークショップ開催回数・参加率	2回以上開催・出資者参加率80%以上
Phase 1: 基盤構築	田中さん＋経営担当	価格体系	2026年3月1日	2026年3月31日	従来銭湯より高く、スーパー銭湯より安い中間価格帯の料金体系を設計する	価格表完成状況	通常料金・町内割引料金・回数券の価格表確定
Phase 1: 基盤構築	田中さん＋設計担当	くつろぎスペースの設計・施工	2026年3月15日	2026年5月15日	入浴後の交流・くつろぎスペース（カフェカウンター、休憩エリア）を設計・施工する	施工完了率	スペース完成・利用可能状態
Phase 1: 基盤構築	施工業者	内装改装の実施	2026年3月15日	2026年5月15日	ブランドコンセプトに基づいた内装改装を実施する	工事進捗率・予算執行率	改装完了・予算500万円以内
Phase 1: 基盤構築	田中さん	地域交流コーディネーターの採用・配置	2026年3月15日	2026年4月30日	地域交流の専門人材を採用し、コミュニティ機能の中核として配置する	コーディネーター配置状況	1名以上配置完了
Phase 1: 基盤構築	若手出資者代表	コミュニティ拠点運営体制	2026年3月15日	2026年4月30日	運営ルール・役割分担・シフト体制・意思決定プロセスを確立する	体制整備状況	運営マニュアル完成・全メンバーへの共有完了
Phase 1: 基盤構築	経営担当	町内住民向け割引制度	2026年3月15日	2026年4月15日	週2回の来店を促進する割引証の仕様・運用フローを設計する	制度設計完成状況	割引率・対象者・利用ルール確定
Phase 1: 基盤構築	IT担当	コミュニティ情報発信プラットフォーム	2026年3月15日	2026年5月15日	SNSアカウント・簡易Webサイトを開設し、情報発信基盤を構築する	プラットフォーム稼働状況	SNS3媒体以上開設・Webサイト公開
Phase 1: 基盤構築	イベント担当	リニューアルオープンイベント企画	2026年4月1日	2026年5月15日	グランドオープニングイベントを企画し、町内住民・近隣住民への告知を実施する	イベント計画確定状況	企画書完成・告知チラシ3,000枚配布
Phase 1: 基盤構築	田中さん＋経営担当	経営改善アクション計画	2026年3月1日	2026年4月30日	月間売上500万円達成のための具体的アクション計画を策定・実行開始する	計画策定状況	アクション計画完成・KPI設定完了
Phase 2: ループ起動	全員	リニューアルオープン	2026年5月16日	2026年5月31日	「コミュニティ湯処」としてグランドオープンを実施する	オープン実施状況	グランドオープン完了・初日来客数100名以上
Phase 2: ループ起動	コーディネーター	交流イベントの定期開催	2026年6月1日	2026年8月31日	月2回以上の交流イベントを企画・運営し、住民の交流機会を創出する	イベント開催回数・参加者数	月2回以上開催・1回あたり参加者20名以上
Phase 2: ループ起動	田中さん＋コーディネーター	銭湯文化体験プログラム	2026年6月1日	2026年8月31日	現代に合った形で銭湯文化を体験できるプログラムを提供する	プログラム実施回数	月1回以上実施
Phase 2: ループ起動	受付担当	町内住民向け割引証発行窓口	2026年5月16日	継続	割引証の発行・利用管理を開始する	割引証発行数・利用率	発行100枚以上・利用率60%以上
Phase 2: ループ起動	イベント担当	近隣地域向け体験イベント	2026年6月1日	2026年8月31日	近隣地域住民向けの特別体験イベントを開催し、商圏拡大を図る	体験イベント開催回数	月1回以上実施
Phase 2: ループ起動	IT担当	イベント予約・管理システム	2026年6月1日	2026年7月31日	イベントのオンライン予約・参加者管理システムを導入する	システム稼働状況	予約受付・参加者管理のオンライン化完了
Phase 2: ループ起動	コーディネーター	顧客ニーズヒアリング活動	2026年6月1日	継続	利用者へのヒアリングを定期的に実施し、サービス改善に活用する	ヒアリング実施回数	月1回以上の定期ヒアリング実施
Phase 2: ループ起動	IT担当	町内住民割引管理システム	2026年6月15日	2026年7月31日	割引証のデジタル管理システムを導入し、運用効率を向上させる	システム稼働状況	デジタル管理稼働・利用データ集計可能
Phase 2: ループ起動	経営担当	経営状況モニタリング体制	2026年5月16日	2026年6月30日	週次・月次の経営数値モニタリング体制を確立する	モニタリング実施状況	週次報告・月次収支レポートの定例化
Phase 2: ループ起動	若手出資者代表	成功モデル構築プロジェクト	2026年6月1日	2026年8月31日	地域活性化の成功指標を定義し、データ測定を開始する	成功指標の定義状況	指標5項目以上定義・測定開始
Phase 3: 持続的成長	IT担当	地域交流促進アプリ	2026年9月1日	2026年11月30日	地域住民の交流を促進するアプリを導入し、デジタルコミュニティを形成する	アプリリリース・利用者数	リリース完了・登録者200名以上
Phase 3: 持続的成長	IT担当	コミュニティマッチングシステム	2026年11月1日	2027年1月31日	住民同士の趣味・関心に基づくマッチング機能を導入する	システム稼働状況	マッチング機能稼働・月間利用50件以上
Phase 3: 持続的成長	田中さん＋若手代表	事業承継メンター制度	2026年9月1日	2026年11月30日	組織的な事業承継支援体制を構築し、メンター制度を設計・運用開始する	制度設計・運用状況	メンター3名以上選定・月次面談開始
Phase 3: 持続的成長	田中さん	後継者育成OJTプログラム	2026年10月1日	2027年3月31日	息子への実践的な経営スキル移転を計画的に実施する	OJT実施状況	週2回以上のOJT実施・経営判断の独立度50%以上
Phase 3: 持続的成長	若手出資者代表	地域活性化成果報告会	2026年11月1日	2026年12月31日	6ヶ月間の成果を定量的・定性的に可視化し、ステークホルダーに報告する	報告会開催状況	初回成果報告会開催・出席率80%以上
Phase 3: 持続的成長	広報担当	社会的価値レポート	2026年12月1日	2027年1月31日	経済的価値と社会的価値を統合したレポートを作成・発信する	レポート完成状況	初回レポート公開・メディア掲載1件以上
Phase 3: 持続的成長	IT担当＋経営担当	経営状況モニタリングダッシュボード	2026年10月1日	2026年12月31日	蓄積データに基づく本格的な経営ダッシュボードを構築・運用する	ダッシュボード稼働状況	リアルタイム経営指標表示・月次レポート自動生成
Phase 3: 持続的成長	田中さん＋経営担当	出資者向け経営報告会	2026年12月1日	継続	四半期ごとの経営報告会を定例化し、出資者との信頼関係を維持する	報告会開催頻度・出席率	四半期1回定例化・出席率80%以上
