活動	説明	業務要求
町内住民向け割引証発行窓口の運営	町内会との連携により、町内住民の身分確認と割引証の発行を行う窓口を設置・運営する	割引制度を活用した町内住民の利用促進
コミュニティ湯処ブランド構築ワークショップの開催	地域住民・出資者・若手協力者が参加し、銭湯のブランドアイデンティティを共創するワークショップを定期開催する	コミュニティ湯処としてのブランド確立
交流イベント企画・運営	季節イベント、健康講座、地域文化継承イベント等を企画・運営し、多世代交流の場を創出する	第三の居場所としての空間整備
事業承継メンター制度の構築	田中さんが息子に対して経営ノウハウ・顧客対応・地域との関係構築を伝承するメンター制度を運用する	次世代への事業承継体制の構築
社会的価値レポート作成・発信	地域交流の成果、健康増進効果、コミュニティ強化の実績をまとめたレポートを作成し、出資者・地域に発信する	社会的価値の創出による誇りの確立
常連客同士の交流促進サポート	浴場スタッフが常連客同士を紹介したり、共通の話題を提供したりして、自然な交流を促進する	町内住民の日常的な交流機会の提供
品質管理・価格設定の見直し活動	定期的に入浴環境の品質チェックを行い、清潔さ・快適さを維持しながら、適正価格を検討・調整する	リーズナブルな価格での質の高い入浴環境の提供
くつろぎスペース運営	浴後のくつろぎスペースに読書コーナー・談話スペースを設け、スタッフが居心地の良い空間づくりを行う	第三の居場所としての安らぎ空間の実現
地域交流コーディネーターの配置	地域の情報を収集し、利用者同士をつなぐコーディネーター役を配置し、顔の見える関係づくりを支援する	地域の絆を再構築する交流促進
銭湯文化体験プログラムの提供	銭湯マナー講座、昔ながらの入浴方法の紹介、銭湯の歴史説明など、文化体験プログラムをスタッフが提供する	現代に合った銭湯文化の再体験機会の提供
出資者向け経営報告会の開催	四半期ごとに出資者向け報告会を開催し、経営状況・将来見通し・投資回収計画を丁寧に説明する	出資者への投資回収見通しの提示
地域活性化成果報告会の実施	町内会・行政・地域団体向けに、利用者数・交流実績・地域貢献活動の成果を報告する会を定期開催する	地域活性化の成果の可視化
若手協力者定例ミーティングの運営	若手出資者・協力者が月次で集まり、進捗共有・課題解決・次のアクションを議論する場を運営する	若手協力者のチーム一体感の醸成
地域資産ストーリー発信活動	銭湯の歴史・地域との関わり・復活ストーリーを、スタッフや出資者が積極的に語り、次世代に伝える活動を行う	次世代に誇れる地域資産の創出
後継者育成OJTプログラムの実施	息子が実際の業務を通じて経営スキルを習得するOJTプログラムを、田中さん指導のもと体系的に実施する	田中さんから息子への円滑な事業承継の実現
経営改善アクションの実行	経営会議で決定した改善アクション（コスト削減、サービス改善、新規顧客獲得策等）を現場で実行する	廃業危機からの脱却の実現
顧客ニーズヒアリング活動	スタッフが日常的に顧客の声を聞き、ニーズ・不満・要望を収集し、経営改善に活かす活動を行う	時代に合った銭湯経営への転換
地域貢献活動の企画・実施	町内清掃活動、地域イベントへの協賛、高齢者見守り活動など、地域への恩返し活動を企画・実施する	地域への恩返しの実現
近隣地域向け体験イベントの開催	近隣地域の住民を招待し、特別な入浴体験・交流イベントを提供するイベントを企画・運営する	近隣地域への特別な価値体験の提供
近隣地域向けキャンペーン実施	近隣地域住民向けの特別割引・クーポン配布キャンペーンを企画し、スタッフが受付・案内を行う	近隣地域へのリーズナブルな癒しの提供
銭湯文化親しみ促進活動	スタッフが利用者に銭湯の楽しみ方・文化的背景を伝え、親しみを持ってもらうコミュニケーションを行う	銭湯文化への親しみの促進
承継価値説明会の開催	息子に対して、銭湯事業の社会的価値・経済的価値・文化的価値を丁寧に説明し、承継意義を理解してもらう場を設ける	息子への承継価値の明確化
後継者向け経営スキル研修の実施	外部専門家を招いた経営・財務・マーケティング研修を息子向けに実施し、スキル習得を支援する	息子への経営スキル習得機会の提供
次世代経営者としての役割付与	息子に重要プロジェクトのリーダー役を任せ、責任と誇りを持って経営に関わる機会を提供する	次世代経営者としての誇りの醸成
成功モデル構築プロジェクトの推進	他地域の銭湯・地域団体と連携し、成功事例を共有・発信し、モデルケースとして確立する活動を推進する	地域活性化の成功モデルの確立
成果モニタリング会議の運営	月次で経営陣・出資者が集まり、KPI達成状況・課題・対策を議論し、PDCAサイクルを回す会議を運営する	継続的な成果モニタリング体制の構築
コミュニティ拠点運営体制の構築	銭湯をコミュニティ拠点として運営するための人員配置・役割分担・運営ルールを整備し、実行する	地域コミュニティ強化拠点の確立
