業務要求	説明	目的	関連する価値記述名	関連する価値記述
割引制度を活用した町内住民の利用促進	町内住民向けの週2回割引制度を導入・運用し、月間500万円の売上目標達成に向けて町内住民の定期的な利用を促進する	持続可能な事業モデルの構築	安定収益の確立	町内住民向け割引制度と近隣地域からの集客施策により、月間500万円の安定した売上を達成することで、事業継続の危機を脱して経営基盤が安定して嬉しい
コミュニティ湯処としてのブランド確立	世代を超えた交流の場を提供する「コミュニティ湯処」として、地域で唯一無二の差別化されたブランドイメージを確立し、広く認知される	差別化ブランドの確立	差別化された銭湯ブランドの確立	コミュニティ湯処として世代を超えた交流の場を提供することで、「特徴のない普通の銭湯」から脱却し地域で唯一無二の価値を持つ銭湯として認知されて嬉しい
第三の居場所としての空間整備	500万円の改装予算を活用し、内装を「第三の居場所」として機能するよう整備し、従来の銭湯イメージを刷新して集客力を向上させる	地域交流拠点の確立	改装投資の最大化	500万円の改装費用で内装を第三の居場所として機能するよう整備することで、従来の銭湯イメージを刷新し集客力が向上して投資効果が最大化されて嬉しい
次世代への事業承継体制の構築	若手出資者20名との協力体制と持続可能な事業モデルを構築し、息子への円滑な事業承継の仕組みを整備する	円滑な事業承継の実現	事業承継の道筋確立	若手出資者20名の協力と持続可能な事業モデルの構築により、次世代への円滑な事業承継の仕組みが整い息子へバトンを渡せる見通しが立って嬉しい
社会的価値の創出による誇りの確立	世代交流の湯として地域の絆を深める役割を果たし、単なる営利事業を超えた社会的価値を創出し、次世代に誇りを持って引き継げる銭湯を実現する	地域への恩返しと誇りの創出	地域貢献による誇り	世代交流の湯として地域の絆を深める役割を果たすことで、単なる営利事業を超えた社会的価値を創出し次世代に誇りを持って引き継げる銭湯になって嬉しい
町内住民の日常的な交流機会の提供	週2回の割引制度を通じて町内住民が気軽に通える環境を整備し、世代を超えた近所の人々が自然に顔を合わせる交流の場を提供する	地域交流拠点の確立	日常的な交流の場の獲得	週2回の割引制度を利用して気軽に銭湯に通うことで、世代を超えた近所の人々と自然に顔を合わせ「ここに来れば誰かに会える」安心感を得られて嬉しい
リーズナブルな価格での質の高い入浴環境の提供	スーパー銭湯より安い価格設定で質の高い入浴環境を提供し、町内住民が日常的にリラックス効果と健康維持を享受できる環境を整備する	持続可能な事業モデルの構築	リーズナブルな癒しと健康維持	スーパー銭湯より安い価格で質の高い入浴環境を利用できることで、自宅のお風呂では得られないリラックス効果と健康維持を日常的に享受できて嬉しい
第三の居場所としての安らぎ空間の実現	自宅でも職場でもない「コミュニティ湯処」として、リラックスしながら他者とつながれる居場所を提供し、日々の暮らしに潤いをもたらす	地域交流拠点の確立	第三の居場所としての安らぎ	自宅でも職場でもない「コミュニティ湯処」として銭湯を利用することで、リラックスしながら他者とつながる居場所を持ち日々の暮らしに潤いが生まれて嬉しい
地域の絆を再構築する交流促進	改装された銭湯で地域住民同士の交流を促進し、希薄化していた町内のつながりを復活させ、地域への愛着と帰属意識を高める	地域交流拠点の確立	地域の絆の再発見	改装された銭湯で地域住民と交流を深めることで、希薄化していた町内のつながりが復活し地域に対する愛着と帰属意識が高まって嬉しい
現代に合った銭湯文化の再体験機会の提供	魅力的に生まれ変わった風呂屋を通じて、かつての銭湯文化の良さを再発見し、現代の生活に合った形で銭湯習慣を取り戻せる機会を提供する	銭湯文化の継承と革新	銭湯文化の再体験	魅力的に生まれ変わった風呂屋に通うことで、かつての銭湯文化の良さを再発見し現代の生活に合った形で銭湯習慣を取り戻せて嬉しい
出資者への投資回収見通しの提示	月間売上500万円の達成と地域での銭湯の定着により、若手20名の出資が確実に回収される見通しを提示し、町おこしへの貢献を実感できる環境を整備する	持続可能な事業モデルの構築	投資価値の実感	月間売上500万円の達成と地域での銭湯の定着により、自分たちの出資が確実に回収される見通しが立ち町おこしへの貢献を実感できて嬉しい
地域活性化の成果の可視化	世代交流の湯として多世代が集う光景や町内住民の利用増加という目に見える成果を提示し、若手出資者が町おこしの成功を確認できる仕組みを構築する	地域活性化への貢献	地域活性化の成果可視化	世代交流の湯として多世代が集う光景や町内住民の利用増加という目に見える成果により、自分たちの町おこしが成功していることを確認できて嬉しい
若手協力者のチーム一体感の醸成	若手20名で銭湯経営のノウハウを共有し、改装や運営に協力する体制を構築し、地域のシンボルを守り育てる一体感とやりがいを提供する	地域活性化への貢献	協力体制の充実感	若手20名で銭湯経営のノウハウを共有し改装や運営に協力することで、チーム一丸となって地域のシンボルを守り育てる一体感とやりがいを得られて嬉しい
次世代に誇れる地域資産の創出	持続可能な銭湯モデルを構築し、次世代に引き継げる地域資産を創り、若手出資者が町の未来に貢献した実績を後世に残せる仕組みを実現する	地域への恩返しと誇りの創出	次世代への誇り	持続可能な銭湯モデルを構築し次世代に引き継げる地域資産を創ることで、自分たちが町の未来に貢献した実績を後世に残せることに誇りを感じられて嬉しい
田中さんから息子への円滑な事業承継の実現	若手20名の協力と改装による新しい銭湯イメージの確立により、息子が承継する価値ある事業として再生し、安心してバトンを渡せる環境を整備する	円滑な事業承継の実現	息子への円滑な事業承継	若手20名の協力と改装による新しい銭湯イメージの確立により、息子が承継する価値ある事業として再生し安心してバトンを渡せる環境が整って嬉しい
廃業危機からの脱却の実現	持続可能な事業モデルと月間500万円の売上達成により、廃業か存続かの決断のプレッシャーから解放され、長年守ってきた銭湯を存続させる道筋を確立する	持続可能な事業モデルの構築	廃業危機からの脱却	持続可能な事業モデルと月間500万円の売上達成により、廃業か存続かの決断のプレッシャーから解放され長年守ってきた銭湯を存続させる道筋が見えて嬉しい
