IT要求	説明	業務要求
町内住民割引管理システム	町内住民の割引適用を管理し、利用状況を追跡するシステム	割引制度を活用した町内住民の利用促進
コミュニティ情報発信プラットフォーム	銭湯のコンセプトや取り組みを発信し、ブランドイメージを構築するWebサイト・SNS連携システム	コミュニティ湯処としてのブランド確立
イベント予約・管理システム	交流イベントやコミュニティスペース利用の予約・管理を行うシステム	第三の居場所としての空間整備
事業承継ナレッジベース	経営ノウハウ、顧客情報、運営手順等を体系的に記録・共有するデジタルドキュメントシステム	次世代への事業承継体制の構築
社会的インパクト測定ダッシュボード	地域貢献度、利用者満足度、交流効果等を可視化する分析ツール	社会的価値の創出による誇りの確立
コミュニティマッチングシステム	利用者の趣味・関心に基づき交流機会を促進するマッチング機能	町内住民の日常的な交流機会の提供
価格・サービス比較表示システム	近隣施設との価格・サービス比較を顧客に分かりやすく表示するWebページ	リーズナブルな価格での質の高い入浴環境の提供
デジタルサイネージシステム	銭湯内に設置し、リラックス情報やコミュニティ情報を表示する電子掲示板	第三の居場所としての安らぎ空間の実現
地域交流促進アプリ	利用者同士のメッセージ交換、イベント告知、思い出共有等を可能にするモバイルアプリ	地域の絆を再構築する交流促進
銭湯文化デジタルアーカイブ	銭湯の歴史、入浴作法、文化的価値等をデジタルコンテンツとして提供するシステム	現代に合った銭湯文化の再体験機会の提供
投資家向けレポーティングシステム	出資者に対し、財務状況、利用状況、成長指標を定期的に報告するダッシュボード	出資者への投資回収見通しの提示
地域活性化指標ダッシュボード	経済効果、雇用創出、地域イベント参加数等を可視化する分析システム	地域活性化の成果の可視化
チーム協働プラットフォーム	若手協力者間のタスク管理、情報共有、意思決定をサポートするグループウェア	若手協力者のチーム一体感の醸成
地域資産ストーリーテリングサイト	銭湯再生プロジェクトの物語、成果、地域への影響を発信するWebサイト	次世代に誇れる地域資産の創出
経営承継トレーニングシステム	経営シミュレーション、意思決定トレーニング、顧客対応学習等を提供するeラーニングシステム	田中さんから息子への円滑な事業承継の実現
経営状況モニタリングダッシュボード	リアルタイムの売上、利用者数、収益性等を可視化し経営判断を支援するBIシステム	廃業危機からの脱却の実現
顧客管理システム	顧客属性、利用履歴、嗜好を記録し、パーソナライズされたサービス提供を実現するシステム	時代に合った銭湯経営への転換
地域貢献活動記録システム	地域イベント、ボランティア、社会貢献活動の実績を記録・発信するシステム	地域への恩返しの実現
体験予約・クーポン配信システム	近隣地域住民向けの特別体験プログラム予約とデジタルクーポン配信を行うシステム	近隣地域への特別な価値体験の提供
オンライン決済・ポイントシステム	キャッシュレス決済、ポイント付与、リピーター促進を実現する決済・ロイヤリティシステム	近隣地域へのリーズナブルな癒しの提供
