ステークホルダー	価値記述名	価値記述	関連する目的
株式会社「風呂屋の匠」（自社）	安定した売上の達成	魅力的なコミュニティ湯処として地元住民に愛される銭湯へ変革することで、月間売上500万円を継続的に達成できて嬉しい	安定収益モデルの構築
株式会社「風呂屋の匠」（自社）	改装投資の効果実感	約500万円の改装によって客足・客単価・リピート率が目に見えて向上し、投資対効果を実感できて嬉しい	安定収益モデルの構築
株式会社「風呂屋の匠」（自社）	町おこしプロジェクト認定の獲得	地域活性化への貢献実績を積み上げることで、行政から町おこしプロジェクトとして認定され、認知度と信頼が高まって嬉しい	地域活性化への貢献の可視化
株式会社「風呂屋の匠」（自社）	次世代への誇りある事業承継	地域に不可欠なコミュニティの場として確固たる価値を確立することで、次世代が誇りを持って引き継げる銭湯となって嬉しい	次世代への誇りある事業承継の実現
株式会社「風呂屋の匠」（自社）	特徴ある銭湯ブランドの確立	「湯煙でつなぐ、まちの縁側」というコンセプトを体現した唯一無二の銭湯として地域に定着し、スーパー銭湯とは異なる独自の存在感を確立できて嬉しい	地域ブランドとしての銭湯の確立
地元町内の住民	近所に通いたくなる居場所の獲得	自宅にお風呂があっても「あそこに行けば誰かに会える」という安心感があり、気軽に立ち寄れる第三の居場所が近所にできて嬉しい	地域の居場所としての銭湯の確立
地元町内の住民	世代を超えた交流の場	子どもから高齢者まで自然に顔を合わせられる場として銭湯が機能し、普段なかなか生まれない世代間のつながりが湯煙の中で生まれて嬉しい	世代を超えた交流の場の創出
地元町内の住民	地域の銭湯への誇りと愛着	改装によって生まれ変わった銭湯が町のシンボルとして認められ、「うちの町にはこんな銭湯がある」と誇れる存在になって嬉しい	地域ブランドとしての銭湯の確立
地元町内の住民	手頃な価格で豊かな入浴体験	スーパー銭湯に比べて通いやすい価格でありながら、改装された清潔で心地よい環境で入浴でき、日常の疲れを癒せて嬉しい	魅力的な入浴体験の提供
地元町内の住民	日常の中の小さな楽しみの習慣化	週に数回銭湯に立ち寄ることが自然な生活習慣となり、毎日の暮らしに小さな楽しみとメリハリが生まれて嬉しい	地域の居場所としての銭湯の確立
町内会の若手20名（出資者・協力者）	投資回収の見通しが持てる安心感	売上・来客数などの経営指標が改善傾向を示すことで、出資した資金が着実に回収される見通しが立ち、参加したことへの安心感を得られて嬉しい	安定収益モデルの構築
町内会の若手20名（出資者・協力者）	町おこし成果の可視化と誇り	銭湯が地域のシンボルとして賑わいを取り戻す様子を目の当たりにし、「自分たちが町を救った」という誇りと達成感を仲間とともに感じられて嬉しい	地域活性化への貢献の可視化
町内会の若手20名（出資者・協力者）	銭湯経営への参画体験と学び	経営や地域ビジネスのノウハウを実践の場で習得でき、若手として地域課題解決に挑戦した経験が自分自身のキャリアや将来につながって嬉しい	地域住民・出資者の参画意識の醸成
町内会の若手20名（出資者・協力者）	協力者同士の絆の深まり	同じ目標に向かって取り組む仲間との連帯感が深まり、プロジェクトを通じて20名の間に強いコミュニティが生まれて嬉しい	世代を超えた交流の場の創出
町内会の若手20名（出資者・協力者）	地域への影響力の実感	若手の行動が銭湯復活という実際の成果を生み出し、地域社会に対して意味ある貢献ができるという影響力を実感できて嬉しい	地域住民・出資者の参画意識の醸成
田中さん（創業者・代表者）	廃業を回避し銭湯を存続できた安堵	若手20名の出資と改装によって事業継続の危機を乗り越え、長年守り続けた銭湯が廃業せずに済んで心から安堵できて嬉しい	創業者の安堵と貢献感の実現
田中さん（創業者・代表者）	息子への誇りある承継の実現	魅力ある銭湯として生まれ変わり将来性が見えることで、息子が自信を持って引き継げる形が整い、親として安心して次世代に任せられて嬉しい	次世代への誇りある事業承継の実現
田中さん（創業者・代表者）	若い力に支えられる心強さ	若手20名が一緒に銭湯を盛り上げてくれることで孤独な経営プレッシャーから解放され、共に歩んでくれる仲間がいる心強さを感じられて嬉しい	創業者の安堵と貢献感の実現
田中さん（創業者・代表者）	新しい銭湯への誇りと手応え	改装後の銭湯に活気と笑顔が戻り、「自分が続けてきた銭湯がこんなに素敵になった」という誇りと達成感を感じられて嬉しい	創業者の安堵と貢献感の実現
田中さん（創業者・代表者）	地域から感謝される存在になれる喜び	銭湯が地域コミュニティの中心として認められ、「田中さんのおかげで銭湯が残った」と地域から感謝される喜びを実感できて嬉しい	創業者の安堵と貢献感の実現
近隣地域からの来訪者	わざわざ来る価値のある体験	「湯煙でつなぐ、まちの縁側」というコンセプトを体感できる独自の雰囲気と温かみに触れ、遠方から足を運んだ甲斐があると感じられて嬉しい	魅力的な入浴体験の提供
近隣地域からの来訪者	銭湯の存在と特徴を容易に知れる	SNSや口コミで「風呂屋の匠」の魅力や独自の特徴を事前に知ることができ、訪問前から期待感を持って来店できて嬉しい	銭湯の認知拡大と新規集客の実現
近隣地域からの来訪者	価格に見合った特別感の納得	地元の銭湯より少し高くても、改装された空間・独自の体験・地域コミュニティの雰囲気によって「この価格で来る価値がある」と納得できて嬉しい	魅力的な入浴体験の提供
田中さんの息子（事業承継候補者）	承継に値する将来性ある事業への転換	改装と若手20名のサポートによって銭湯が安定した収益と地域コミュニティの中核という社会的価値を確立し、「引き継ぐ価値がある」と確信できて嬉しい	次世代への誇りある事業承継の実現
田中さんの息子（事業承継候補者）	経営スキルを実践で習得できる環境	若手20名との協力体制の中で銭湯経営を学びながら段階的に責任を持てる環境が整い、未経験でも自信を持って経営者への道を歩めて嬉しい	次世代への誇りある事業承継の実現
田中さんの息子（事業承継候補者）	仲間と共に挑戦する銭湯経営の充実感	同世代の若手や出資者仲間と連携しながら地域に貢献する経営に携わることで、単なる家業の引き継ぎを超えた充実感ある仕事として銭湯を選べて嬉しい	地域住民・出資者の参画意識の醸成
地方自治体	地域活性化への具体的貢献の確認	銭湯復活が来客数・雇用・地域コミュニティ形成などの指標で示される成果を生み出し、地域活性化施策として具体的な貢献度を評価・報告できて嬉しい	地域活性化への貢献の可視化
地方自治体	官民連携モデルとしての活用	若手出資者・創業者・地域住民が一体となった銭湯復活の取り組みが、他の地域課題解決にも応用できる先進的な官民連携モデルとして自治体内外に発信できて嬉しい	地域活性化への貢献の可視化
地方自治体	継続的成果のモニタリングが容易	銭湯の経営指標や地域交流の実態が定期的に共有される仕組みがあり、支援の継続可否を根拠を持って判断できて嬉しい	地域活性化への貢献の可視化
