活動	スコア	スコアの理由	関連する業務要求	関連する目的
地域交流コーディネーターの配置	89	地域交流拠点としての機能を担う中核的活動であり、従来の銭湯にない新しい価値創造の仕組みを構築する。交流促進の専門人材配置は事業モデルの根本的革新となる。	地域の絆を再構築する交流促進	地域交流拠点の確立
コミュニティ湯処ブランド構築ワークショップの開催	89	単なる銭湯から「コミュニティ湯処」への本質的な転換を実現する活動。ステークホルダー参加型でブランド価値を共創することで、差別化の源泉を確立する。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
コミュニティ拠点運営体制の構築	89	地域コミュニティ強化拠点として機能するための運営基盤を構築する活動。持続的な地域貢献の仕組みを確立し、複数の価値概念を実現する基盤となる。	地域コミュニティ強化拠点の確立	地域活性化への貢献
交流イベント企画・運営	34	第三の居場所としての価値を具現化し、定期的な交流機会を創出する。従来の銭湯にない付加価値を提供する。	第三の居場所としての空間整備	地域交流拠点の確立
くつろぎスペース運営	34	入浴後の安らぎ空間を提供することで、滞在時間延長と交流促進を実現。第三の居場所としての機能を物理的に体現する。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
成功モデル構築プロジェクトの推進	34	地域活性化の再現可能なモデルを確立することで、他地域への展開可能性を含む社会的インパクトを創出する。	地域活性化の成功モデルの確立	地域活性化への貢献
銭湯文化体験プログラムの提供	34	現代に合った形で銭湯文化を再体験する機会を提供し、文化継承と革新を同時に実現する。	現代に合った銭湯文化の再体験機会の提供	銭湯文化の継承と革新
事業承継メンター制度の構築	21	組織的な承継支援体制を構築し、個人依存から仕組み化へ転換する。次世代への知識・ノウハウの体系的移転を実現する。	次世代への事業承継体制の構築	円滑な事業承継の実現
社会的価値レポート作成・発信	21	経済的価値だけでなく社会的価値を可視化・発信することで、ステークホルダーの誇りを醸成し、事業の正当性を高める。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域資産ストーリー発信活動	21	事業を地域の歴史・文化資産として位置づけ、次世代に継承する価値を明確化する。	次世代に誇れる地域資産の創出	地域への恩返しと誇りの創出
後継者育成OJTプログラムの実施	21	実践的な経営スキルを習得させることで、承継後の事業継続性を高める。	田中さんから息子への円滑な事業承継の実現	円滑な事業承継の実現
地域活性化成果報告会の実施	21	地域活性化の成果を定量的・定性的に可視化し、事業の社会的意義を証明する。	地域活性化の成果の可視化	地域活性化への貢献
顧客ニーズヒアリング活動	21	時代に合った銭湯経営への転換の基盤となる顧客理解を深める。	時代に合った銭湯経営への転換	銭湯文化の継承と革新
経営改善アクションの実行	21	廃業危機からの脱却を実現するための具体的施策を実施。事業存続の基盤を確立する。	廃業危機からの脱却の実現	持続可能な事業モデルの構築
近隣地域向け体験イベントの開催	21	商圏拡大と差別化ブランドの認知拡大を同時に実現。特別な体験価値を提供する。	近隣地域への特別な価値体験の提供	差別化ブランドの確立
地域貢献活動の企画・実施	13	地域への恩返しを具体的な形で実現し、事業の社会的存在意義を高める。	地域への恩返しの実現	地域への恩返しと誇りの創出
若手協力者定例ミーティングの運営	13	出資者である若手20名のチーム一体感を維持し、プロジェクトの推進力を確保する。	若手協力者のチーム一体感の醸成	地域活性化への貢献
承継価値説明会の開催	13	事業承継の意義を明確化し、後継者の納得感を醸成する。	息子への承継価値の明確化	円滑な事業承継の実現
後継者向け経営スキル研修の実施	13	経営に必要な知識・スキルを体系的に習得させ、承継後の経営リスクを低減する。	息子への経営スキル習得機会の提供	円滑な事業承継の実現
次世代経営者としての役割付与	13	後継者に実践的な役割を付与することで、責任感と誇りを醸成する。	次世代経営者としての誇りの醸成	地域への恩返しと誇りの創出
成果モニタリング会議の運営	13	継続的な成果測定と改善のPDCAサイクルを確立し、事業の持続可能性を高める。	継続的な成果モニタリング体制の構築	持続可能な事業モデルの構築
銭湯文化親しみ促進活動	13	銭湯文化への心理的障壁を低減し、新規顧客の獲得を促進する。	銭湯文化への親しみの促進	銭湯文化の継承と革新
常連客同士の交流促進サポート	8	既存顧客の満足度向上とコミュニティ形成を支援する。	町内住民の日常的な交流機会の提供	地域交流拠点の確立
出資者向け経営報告会の開催	8	出資者への説明責任を果たし、信頼関係を維持する。	出資者への投資回収見通しの提示	持続可能な事業モデルの構築
品質管理・価格設定の見直し活動	8	リーズナブルな価格と質の高いサービスのバランスを最適化する。	リーズナブルな価格での質の高い入浴環境の提供	持続可能な事業モデルの構築
近隣地域向けキャンペーン実施	8	商圏拡大とリーズナブルな価格訴求により、新規顧客を獲得する。	近隣地域へのリーズナブルな癒しの提供	持続可能な事業モデルの構築
町内住民向け割引証発行窓口の運営	3	既存の割引制度を運用する日常的なオペレーション。革新性は限定的。	割引制度を活用した町内住民の利用促進	持続可能な事業モデルの構築
