名前	種別	スコア	スコアの理由	関連する業務要求	関連する目的
地域交流コーディネーターの配置	活動	89	地域交流拠点としての機能を担う中核的活動であり、従来の銭湯にない新しい価値創造の仕組みを構築する。	地域の絆を再構築する交流促進	地域交流拠点の確立
コミュニティ湯処ブランド構築ワークショップの開催	活動	89	単なる銭湯から「コミュニティ湯処」への本質的な転換を実現する活動。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
コミュニティ拠点運営体制の構築	活動	89	地域コミュニティ強化拠点として機能するための運営基盤を構築する活動。	地域コミュニティ強化拠点の確立	地域活性化への貢献
コミュニティ情報発信プラットフォーム	IT要求	34	地域交流拠点としてのブランド確立は、複数のステークホルダーに波及し、事業全体の成否を左右する中核的IT要求である。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
地域交流促進アプリ	IT要求	34	地域の絆再構築という社会的価値創出の中核機能であり、複数のステークホルダー間の日常的な交流を促進する基盤となる。	地域の絆を再構築する交流促進	地域交流拠点の確立
イベント予約・管理システム	IT要求	34	第三の居場所としての機能を実現する中核システムであり、地域交流拠点の運営基盤として不可欠である。	第三の居場所としての空間整備	地域交流拠点の確立
コミュニティマッチングシステム	IT要求	34	町内住民の日常的な交流という地域交流拠点の本質的価値を直接実現する。	町内住民の日常的な交流機会の提供	地域交流拠点の確立
交流イベント企画・運営	活動	34	第三の居場所としての価値を具現化し、定期的な交流機会を創出する。	第三の居場所としての空間整備	地域交流拠点の確立
くつろぎスペース運営	活動	34	入浴後の安らぎ空間を提供することで、滞在時間延長と交流促進を実現。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
成功モデル構築プロジェクトの推進	活動	34	地域活性化の再現可能なモデルを確立することで、他地域への展開可能性を含む社会的インパクトを創出する。	地域活性化の成功モデルの確立	地域活性化への貢献
銭湯文化体験プログラムの提供	活動	34	現代に合った形で銭湯文化を再体験する機会を提供し、文化継承と革新を同時に実現する。	現代に合った銭湯文化の再体験機会の提供	銭湯文化の継承と革新
社会的インパクト測定ダッシュボード	IT要求	21	社会的価値の可視化は出資者・協力者のモチベーション維持に重要。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域活性化指標ダッシュボード	IT要求	21	成果の可視化は地域活性化への貢献を示す重要機能。	地域活性化の成果の可視化	地域活性化への貢献
町内住民割引管理システム	IT要求	21	割引制度は町内住民の継続利用を促す重要機能。	割引制度を活用した町内住民の利用促進	持続可能な事業モデルの構築
経営状況モニタリングダッシュボード	IT要求	21	事業継続の基盤となる経営管理機能。	廃業危機からの脱却の実現	持続可能な事業モデルの構築
デジタルサイネージシステム	IT要求	21	安らぎ空間の演出に貢献する副次的システム。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
事業承継メンター制度の構築	活動	21	組織的な承継支援体制を構築し、個人依存から仕組み化へ転換する。	次世代への事業承継体制の構築	円滑な事業承継の実現
社会的価値レポート作成・発信	活動	21	経済的価値だけでなく社会的価値を可視化・発信する。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域資産ストーリー発信活動	活動	21	事業を地域の歴史・文化資産として位置づけ、次世代に継承する価値を明確化する。	次世代に誇れる地域資産の創出	地域への恩返しと誇りの創出
後継者育成OJTプログラムの実施	活動	21	実践的な経営スキルを習得させることで、承継後の事業継続性を高める。	田中さんから息子への円滑な事業承継の実現	円滑な事業承継の実現
地域活性化成果報告会の実施	活動	21	地域活性化の成果を定量的・定性的に可視化し、事業の社会的意義を証明する。	地域活性化の成果の可視化	地域活性化への貢献
顧客ニーズヒアリング活動	活動	21	時代に合った銭湯経営への転換の基盤となる顧客理解を深める。	時代に合った銭湯経営への転換	銭湯文化の継承と革新
