IT要求	スコア	スコアの理由	関連する業務要求	関連する目的
コミュニティ情報発信プラットフォーム	34	地域交流拠点としてのブランド確立は、複数のステークホルダーに波及し、事業全体の成否を左右する中核的IT要求である。	コミュニティ湯処としてのブランド確立	差別化ブランドの確立
地域交流促進アプリ	34	地域の絆再構築という社会的価値創出の中核機能であり、複数のステークホルダー間の日常的な交流を促進する基盤となる。	地域の絆を再構築する交流促進	地域交流拠点の確立
イベント予約・管理システム	34	第三の居場所としての機能を実現する中核システムであり、地域交流拠点の運営基盤として不可欠である。	第三の居場所としての空間整備	地域交流拠点の確立
コミュニティマッチングシステム	34	町内住民の日常的な交流という地域交流拠点の本質的価値を直接実現し、継続的なコミュニティ形成を支援する。	町内住民の日常的な交流機会の提供	地域交流拠点の確立
社会的インパクト測定ダッシュボード	21	社会的価値の可視化は出資者・協力者のモチベーション維持に重要だが、直接的な顧客価値創出ではないため中程度の評価。	社会的価値の創出による誇りの確立	地域への恩返しと誇りの創出
地域活性化指標ダッシュボード	21	成果の可視化は地域活性化への貢献を示す重要機能だが、主に内部向けの評価・改善ツールであるため中程度の評価。	地域活性化の成果の可視化	地域活性化への貢献
町内住民割引管理システム	21	割引制度は町内住民の継続利用を促す重要機能だが、差別化の一要素に留まるため中程度の評価。	割引制度を活用した町内住民の利用促進	持続可能な事業モデルの構築
経営状況モニタリングダッシュボード	21	事業継続の基盤となる経営管理機能だが、顧客価値への直接貢献は限定的なため中程度の評価。	廃業危機からの脱却の実現	持続可能な事業モデルの構築
デジタルサイネージシステム	21	安らぎ空間の演出に貢献するが、他の交流促進機能に比べて副次的な役割であるため中程度の評価。	第三の居場所としての安らぎ空間の実現	地域交流拠点の確立
銭湯文化デジタルアーカイブ	13	銭湯文化の継承に貢献するが、体験機会提供の一部であり、頻繁に利用される機能ではないため低中程度の評価。	現代に合った銭湯文化の再体験機会の提供	銭湯文化の継承と革新
地域資産ストーリーテリングサイト	13	地域資産の創出・発信は重要だが、日常的な事業運営や顧客体験への直接貢献は限定的なため低中程度の評価。	次世代に誇れる地域資産の創出	地域への恩返しと誇りの創出
チーム協働プラットフォーム	13	若手協力者の一体感醸成は重要だが、内部運営効率化が主目的であり、顧客価値創出への直接貢献は間接的。	若手協力者のチーム一体感の醸成	地域活性化への貢献
事業承継ナレッジベース	13	事業承継は長期的には重要だが、現時点での顧客価値創出や事業運営への直接貢献は限定的。	次世代への事業承継体制の構築	円滑な事業承継の実現
経営承継トレーニングシステム	13	田中さんから息子への承継支援は重要だが、現時点での事業運営への直接貢献は限定的。	田中さんから息子への円滑な事業承継の実現	円滑な事業承継の実現
投資家向けレポーティングシステム	8	出資者への説明責任は重要だが、定期報告用途が主であり、日常的な事業運営や顧客価値創出への貢献は小さい。	出資者への投資回収見通しの提示	持続可能な事業モデルの構築
価格・サービス比較表示システム	8	価格の妥当性を示す補助機能だが、リーズナブルな価格設定そのものが主要価値であり、システムの貢献度は小さい。	リーズナブルな価格での質の高い入浴環境の提供	持続可能な事業モデルの構築
顧客管理システム	8	基本的な業務効率化ツールだが、銭湯経営の転換における差別化要素ではなく、標準的な機能に留まる。	時代に合った銭湯経営への転換	銭湯文化の継承と革新
地域貢献活動記録システム	8	活動記録は重要だが、地域への恩返し実現の補助機能であり、直接的な価値創出への貢献は小さい。	地域への恩返しの実現	地域への恩返しと誇りの創出
体験予約・クーポン配信システム	8	予約・クーポン機能は利便性向上に寄与するが、特別な価値体験そのものを創出する機能ではない。	近隣地域への特別な価値体験の提供	差別化ブランドの確立
オンライン決済・ポイントシステム	8	決済手段の多様化は利便性向上に寄与するが、リーズナブルな癒しの提供における差別化要素ではない。	近隣地域へのリーズナブルな癒しの提供	持続可能な事業モデルの構築
