テーマ	役割名	何を	開始時期	終了時期	どうする	評価尺度	目標値
Phase 1: 基盤構築	匠Method専門家	全4フェーズの標準プロセスフロー	2026年3月第1週	2026年3月第2週	匠Methodの各フェーズの業務手順・判断基準・成果物定義を文書化し、AIに実装する標準プロセスを確立する	標準プロセスフロー文書の完成度（必要項目の網羅率）	全4フェーズの標準プロセスが文書化され、全必要項目の100%を網羅している
Phase 1: 基盤構築	匠Method専門家	各フェーズの成果物に対する品質判定基準	2026年3月第2週	2026年3月第3週	各フェーズの成果物（ステークホルダーモデル・価値デザイン・価値分析・要求分析ツリー）の品質判定ルールを定義し文書化する	品質基準ドキュメントの完成フェーズ数	全4フェーズの品質判定基準が定義・文書化されている
Phase 1: 基盤構築	開発チーム	モデル自動生成エンジン（Phase1: ステークホルダーモデル）	2026年3月第1週	2026年3月第2週	企画案入力からステークホルダーの抽出・分類・TSV出力までを自動生成するエンジンを実装する	企画案入力からステークホルダーモデルTSVの自動生成成功率	サンプル企画3件以上で正常にTSVが自動生成される
Phase 1: 基盤構築	開発チーム	モデル自動生成エンジン（Phase2: 価値デザインモデル）	2026年3月第2週	2026年3月第3週	ステークホルダーモデルを入力として、ビジョン・コンセプト・キャッチコピー・意味・ストーリー・デザインを自動生成するエンジンを実装する	価値デザインモデルの全6要素の自動生成成功率	サンプル企画3件以上で全6要素が正常に自動生成される
Phase 1: 基盤構築	開発チーム	モデル自動生成エンジン（Phase3: 価値分析モデル）	2026年3月第3週	2026年3月第4週	価値デザインモデルとステークホルダーモデルを入力として、価値記述・目的・関連付けを自動生成するエンジンを実装する	価値分析モデルの全要素（価値記述・目的・関連付け）の自動生成成功率	サンプル企画3件以上で価値記述・目的・関連付けが正常に自動生成される
Phase 1: 基盤構築	開発チーム	モデル自動生成エンジン（Phase4: 要求分析ツリー）	2026年3月第3週	2026年3月第4週	価値分析モデルを入力として、業務要求・IT要求・活動を自動生成するエンジンを実装する	要求分析ツリーの全要素（業務要求・IT要求・活動）の自動生成成功率	サンプル企画3件以上で業務要求・IT要求・活動が正常に自動生成される
Phase 1: 基盤構築	開発チーム + 匠Method専門家	匠Method正確性保証エンジンのプロンプト設計	2026年3月第2週	2026年3月第4週	匠Methodのルール・制約・観点をプロンプトに組み込み、AIが匠Methodから逸脱した成果物を生成しない仕組みを実装する	匠Method専門家によるレビュー合格率	サンプル企画3件以上の生成結果が匠Method専門家のレビューに合格している
Phase 1: 基盤構築	匠Method専門家	匠Method正確性検証レビュー（初回検証）	2026年3月第3週	2026年3月第4週	Phase1生成結果を匠Method専門家がレビューし、メソッドの正確性と品質を検証する	レビュー対象サンプル数と承認率	サンプル企画3件以上で匠Method専門家が生成結果を承認している
Phase 2: 品質・検証機能実装	開発チーム	品質自動検証機能（各フェーズの検証ロジック）	2026年4月第1週	2026年4月第2週	全フェーズの成果物に対して品質基準に照らした自動検証を行い、スコアと改善提案を出力する機能を実装する	全フェーズの品質スコア・改善提案の自動出力成功率	全4フェーズの成果物に対して品質スコアと改善提案が自動出力される
Phase 2: 品質・検証機能実装	匠Method専門家	匠Method正確性検証レビュー（全フェーズ横断検証）	2026年4月第1週	2026年4月第2週	全4フェーズを通した生成結果を匠Method専門家が横断的にレビューし、フェーズ間の整合性と正確性を検証する	全フェーズ横断レビューの承認可否	全4フェーズを通した生成結果の正確性が専門家に承認されている
Phase 2: 品質・検証機能実装	開発チーム	企画書・計画書自動生成機能	2026年4月第1週	2026年4月第2週	Phase4までの成果物を入力として、企画書Markdown・MSP計画書・ゴール記述モデルを自動生成する機能を実装する	企画書の自動生成成功率	Phase4までの成果物から企画書Markdownが自動生成される
Phase 2: 品質・検証機能実装	開発チーム	DrawIOモデル可視化機能	2026年4月第2週	2026年4月第3週	各フェーズのモデルをDrawIO形式の図として自動生成し、視覚的に確認できる機能を実装する	DrawIOファイルの自動生成対応フェーズ数	全4フェーズ+ビジネスコンテキストフローのDrawIOファイルが自動生成される
Phase 2: 品質・検証機能実装	開発チーム	AIファシリテーション支援機能（対話型企画案作成）	2026年4月第1週	2026年4月第3週	AIとの対話を通じて企画案（idea.md）を作成できる機能を実装する	対話型企画案作成の完走率	AIとの対話を通じて企画案が正常に作成できる
Phase 2: 品質・検証機能実装	匠Method専門家	フェーズ別判断ガイダンス設計	2026年4月第1週	2026年4月第2週	各フェーズの完了条件・判断基準・次のアクションを示すガイダンスコンテンツを設計・作成する	ガイダンスコンテンツの完成フェーズ数	全4フェーズの完了条件・判断基準が文書化されている
Phase 3: ユーザー体験整備	開発チーム	シングルユーザー完結型ワークフロー機能	2026年4月第3週	2026年5月第1週	企画案入力から企画書出力まで、1つのコマンド体系で個人ユーザーが全工程を完結できるワークフローを実装する	企画案入力から企画書出力までの一気通貫実行成功率	企画案入力から企画書出力まで1つのコマンド体系で完結する
Phase 3: ユーザー体験整備	開発チーム	ステップガイダンス表示機能	2026年4月第3週	2026年5月第1週	現在のフェーズ・次の作業・完了状況をユーザーに常時表示するガイダンス機能を実装する	ガイダンス表示の対応フェーズ数	全4フェーズでフェーズ・次の作業・完了状況が表示される
Phase 3: ユーザー体験整備	開発チーム	匠Methodナレッジ配信機能	2026年4月第3週	2026年5月第1週	各フェーズ作業中に匠Methodの解説・観点・考え方をコンテキストとして提示する機能を実装する	ナレッジ配信の対応フェーズ数	全4フェーズで匠Methodの解説・観点が提示される
Phase 3: ユーザー体験整備	テクニカルライター	個人ユーザー向け利用ガイド	2026年5月第1週	2026年5月第2週	インストール手順・クイックスタート・FAQ・ユースケース例を含む利用ガイドを作成する	利用ガイドの構成要素完備率	インストール手順・クイックスタート・FAQ・ユースケース例が全て揃っている
Phase 3: ユーザー体験整備	QA + 匠Method専門家	ベータテスト（個人ユーザー5名以上）	2026年5月第2週	2026年5月第3週	匠Method未経験者を含む個人ユーザー5名以上にベータテストを実施し、全工程完結の可否と満足度を検証する	テストユーザーの全工程完走率・満足度	テストユーザーが支援なしで全工程を完結でき、満足度80%以上
Phase 3: ユーザー体験整備	開発チーム	ベータフィードバック反映・バグ修正	2026年5月第3週	2026年5月第4週	ベータテストで発見された重大不具合を解消し、主要フィードバックを反映する	重大バグ解消率・主要フィードバック反映率	重大な不具合が100%解消され、主要フィードバックが反映されている
Phase 4: リリース準備	マーケティング	匠Methodコンテンツ外部公開戦略	2026年5月第3週	2026年5月第4週	公開チャネル・メッセージング・ターゲティングを決定し、外部公開戦略を確立する	戦略文書の完成可否	公開チャネル・メッセージング・ターゲティングが決定している
Phase 4: リリース準備	マーケティング	匠Method普及活動（初回）	2026年5月第4週	2026年6月第1週	ブログ記事・SNS投稿・デモ動画を作成・公開し、初期ユーザーの獲得活動を開始する	公開コンテンツ数	ブログ記事・SNS投稿・デモ動画が各1本以上公開されている
Phase 4: リリース準備	開発チーム	LLM APIベンダー選定・契約管理	2026年3月第1週	2026年5月第4週	本番環境のAPI契約・利用制限・コスト見積もりを確定し、安定運用体制を整備する	API契約の確定可否	本番環境のAPI契約・利用制限・コスト見積もりが確定している
Phase 4: リリース準備	全チーム	MSPリリース	2026年6月第1週	2026年6月第2週	一般ユーザーがアクセス・利用開始できる状態でMSPをリリースする	リリース完了可否	一般ユーザーがアクセス・利用開始できる状態になっている
Phase 4: リリース準備	開発チーム	ユーザーフィードバック収集・改善提案の仕組み構築	2026年6月第1週	2026年6月第2週	フィードバック収集チャネルを構築し、ユーザーからのフィードバックに基づく改善サイクルを稼働させる	フィードバック収集チャネルの稼働可否	フィードバック収集チャネルが稼働し、改善サイクルが回り始めている
