活動	スコア	スコアの理由	関連する業務要求	関連する目的
匠Methodコンテンツ外部公開戦略立案	34	匠Methodの知見を外部に提供するための流通チャネル・公開戦略を策定する活動であり、民主化実現の方向性を決める中核的戦略活動	匠Methodの知見をツールとして外部に提供・流通させられること	匠Methodの知見を誰でも活用できる民主化の実現
品質基準ドキュメント策定	34	匠Methodの品質基準を定義し自動検証の判定ルールに落とし込むドキュメントを作成する活動であり、AI品質検証の前提となる根幹活動	成果物の品質基準を定義し、自動検証によって安定した品質を担保できること	品質基準に基づく自動検証・改善提案の提供
匠Method正確性検証レビュー	34	AIが生成した成果物が匠Methodを正確に体現しているかを専門家がレビューする活動であり、メソッドの品質保証の根幹	AIエージェントが匠Methodを正確に体現した成果物を生成できること	品質基準に基づく自動検証・改善提案の提供
個人ユーザー向け利用ガイド整備	34	個人ユーザーが単独で全フェーズを完結できるようガイドを作成する活動であり、匠Method民主化の中核を直接支える不可欠な活動	個人が単独で匠Methodの全フェーズを完結させられること	匠Methodの知見を誰でも活用できる民主化の実現
匠Method普及活動の企画・実施	34	ファシリテーターが講演・研修・コミュニティ活動を企画・実施する活動であり、匠Method普及の直接的な推進力となる中核活動	ファシリテーターが匠Methodをより多くの組織・個人に普及させられること	匠Methodの知見を誰でも活用できる民主化の実現
コンサル業務プロセス標準化	34	AI活用前提で企画コンサル業務を再設計・標準化する活動であり、業務効率化の中核となる業務改革活動	企画コンサル業務の工数を削減し、スループットを向上できること	モデリング自動生成による企画プロセスの加速
ファシリテーター役割再定義	21	AI導入後のファシリテーターの役割・責任範囲を見直す活動であり、本質的対話への集中を支える重要な組織設計だが段階的に進めることも可能	AIがモデリング作業を代替し、ファシリテーターの業務負荷を軽減できること	ファシリテーターの本質的対話への集中支援
企画アイデア入力レビュー運用	21	ユーザーの入力品質を高めるフォローアップ運用であり、モデル生成の品質に間接的に寄与する重要な運用活動	企画アイデアを入力すると即時にモデルを生成できること	モデリング自動生成による企画プロセスの加速
品質評価結果の説明・フォローアップ対応	21	品質評価結果をユーザーが正しく解釈できるよう補足説明・助言を行う活動であり、品質可視化の価値を最大化する重要な運用	成果物の品質評価結果をユーザーに分かりやすく可視化できること	品質基準に基づく自動検証・改善提案の提供
提案書・計画書生成後の人的レビュー	21	AI自動生成された提案書に対して人間が整合性・適切さを確認する品質保証活動であり、エンドツーエンド生成の信頼性を支える重要ステップ	企画モデルから提案書・計画書を一貫して自動生成できること	企画モデルから提案書・計画書までの一貫生成
匠Method学習カリキュラム設計	21	ツール利用を通じた匠Method習熟のカリキュラム・演習課題を設計する活動であり、ステップガイドの教育的価値を支える重要な設計活動	ツールの利用を通じて匠Methodを学習・習熟できること	ステップガイドによる次アクション・判断基準の明確化
フェーズ別判断ガイダンス設計	21	各フェーズでの判断基準を明確にするガイダンスコンテンツを専門家が設計する活動であり、ステップガイド機能の内容品質を決定する重要な活動	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること	ステップガイドによる次アクション・判断基準の明確化
顧客対話ファシリテーション実践	21	AIの支援を活かしてファシリテーターが顧客との本質的対話に集中する実践活動であり、価値創造の直接的な行動指針	ファシリテーターが顧客との本質的な対話に集中できること	ファシリテーターの本質的対話への集中支援
AI生成成果物ファシリテーター承認フロー整備	21	AIが生成した成果物をファシリテーターが段階的に確認・承認する体制を整備する活動であり、品質保証プロセスの主要な運用設計	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること	品質基準に基づく自動検証・改善提案の提供
匠Method社会普及キャンペーン運営	21	匠Methodの広報活動・パートナーシップ開拓・イベント企画を運営する活動であり、社会普及に直接貢献するが代替手段も存在	ツールを通じて匠Methodを広く社会に普及・拡大できること	匠Methodの知見を誰でも活用できる民主化の実現
組織内匠Method定着支援活動	21	社内研修・勉強会・実践ワークショップを通じて匠Methodの組織浸透を支援する活動であり、均質浸透の実践的な推進力	組織全体に匠Methodを均質に浸透・定着させられること	組織・チームへの匠Method均質浸透の支援
ブランド品質基準維持・監査	21	匠Methodブランドの品質基準を定期的に監査し逸脱を是正する活動であり、ブランド保護の継続的な品質管理活動	匠Methodブランドの品質基準を維持・保護できること	品質基準に基づく自動検証・改善提案の提供
チーム向けモデリング品質統一ルール策定	13	チーム内の表記・用語・粒度を統一する規約を策定する活動であり、品質統一に寄与するがテンプレート機能で一部自動化可能	複数メンバーが関与する企画モデリングの品質を統一できること	組織・チームへの匠Method均質浸透の支援
非同期作業ルール・コミュニケーション設計	13	非同期での企画プロセス進行のためのチーム内ルール・フローを設計する活動であり、業務並行に寄与するが必須ではない	通常業務と並行して企画プロセスを非同期に進められること	モデリング自動生成による企画プロセスの加速
