名前	種別	スコア	スコアの理由	関連する業務要求	関連する目的
モデル自動生成エンジン	IT要求	89	サービスの根幹エンジンであり、企画アイデアからモデルを自動生成する業務要求の唯一の実現手段。これなくしてはサービス自体が成立しない	企画アイデアを入力すると即時にモデルを生成できること	モデリング自動生成による企画プロセスの加速
品質自動検証機能	IT要求	34	匠Methodの品質基準に基づく自動検証の中核機能であり、人間のレビューでは規模・速度ともに代替困難な差別化要素	成果物の品質基準を定義し、自動検証によって安定した品質を担保できること	品質基準に基づく自動検証・改善提案の提供
企画書・計画書自動生成機能	IT要求	34	モデリングから提案書・計画書までのエンドツーエンド一貫生成の中核機能であり、代替困難な差別化要素	企画モデルから提案書・計画書を一貫して自動生成できること	企画モデルから提案書・計画書までの一貫生成
シングルユーザー完結型ワークフロー機能	IT要求	34	個人ユーザーが単独で全フェーズを順次完結するための統合ワークフロー基盤であり、匠Method民主化の中核を直接実現する	個人が単独で匠Methodの全フェーズを完結させられること	匠Methodの知見を誰でも活用できる民主化の実現
匠Method正確性保証エンジン	IT要求	34	AIが生成した成果物が匠Methodを正確に体現しているかを検証するルールベースエンジンであり、メソッドの品質保証の根幹	AIエージェントが匠Methodを正確に体現した成果物を生成できること	品質基準に基づく自動検証・改善提案の提供
ファシリテーター業務自動化機能	IT要求	34	モデリング作業の繰り返し工程をAIが代替する自動化パイプラインであり、業務負荷軽減の中核手段として手動では代替困難	AIがモデリング作業を代替し、ファシリテーターの業務負荷を軽減できること	ファシリテーターの本質的対話への集中支援
匠Methodナレッジ配信機能	IT要求	34	匠Methodの知見を外部ユーザーに配信する中核基盤であり、知見の外部提供・流通という業務要求の中核的実現手段	匠Methodの知見をツールとして外部に提供・流通させられること	匠Methodの知見を誰でも活用できる民主化の実現
AIファシリテーション支援機能	IT要求	34	対話内容からAIが企画モデルへの変換・整理を支援する機能であり、ファシリテーターの本質的対話集中の中核手段として代替困難	ファシリテーターが顧客との本質的な対話に集中できること	ファシリテーターの本質的対話への集中支援
匠Methodコンテンツ外部公開戦略立案	活動	34	匠Methodの知見を外部に提供するための流通チャネル・公開戦略を策定する活動であり、民主化実現の方向性を決める中核的戦略活動	匠Methodの知見をツールとして外部に提供・流通させられること	匠Methodの知見を誰でも活用できる民主化の実現
品質基準ドキュメント策定	活動	34	匠Methodの品質基準を定義し自動検証の判定ルールに落とし込むドキュメントを作成する活動であり、AI品質検証の前提となる根幹活動	成果物の品質基準を定義し、自動検証によって安定した品質を担保できること	品質基準に基づく自動検証・改善提案の提供
匠Method正確性検証レビュー	活動	34	AIが生成した成果物が匠Methodを正確に体現しているかを専門家がレビューする活動であり、メソッドの品質保証の根幹	AIエージェントが匠Methodを正確に体現した成果物を生成できること	品質基準に基づく自動検証・改善提案の提供
個人ユーザー向け利用ガイド整備	活動	34	個人ユーザーが単独で全フェーズを完結できるようガイドを作成する活動であり、匠Method民主化の中核を直接支える不可欠な活動	個人が単独で匠Methodの全フェーズを完結させられること	匠Methodの知見を誰でも活用できる民主化の実現
匠Method普及活動の企画・実施	活動	34	ファシリテーターが講演・研修・コミュニティ活動を企画・実施する活動であり、匠Method普及の直接的な推進力となる中核活動	ファシリテーターが匠Methodをより多くの組織・個人に普及させられること	匠Methodの知見を誰でも活用できる民主化の実現
コンサル業務プロセス標準化	活動	34	AI活用前提で企画コンサル業務を再設計・標準化する活動であり、業務効率化の中核となる業務改革活動	企画コンサル業務の工数を削減し、スループットを向上できること	モデリング自動生成による企画プロセスの加速
ステップガイダンス表示機能	IT要求	21	各フェーズでの判断基準を提示するガイダンスの主要手段であり、初心者の参入障壁を下げる重要機能だが、ドキュメント等で一部補完可能	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること	ステップガイドによる次アクション・判断基準の明確化
チーム共有・共同編集機能	IT要求	21	チームでの企画モデル一元管理・共有の主要手段であり、組織浸透に重要だが、ファイル共有等で一部代替可能	チームで作成した企画モデルを一元管理・共有できること	組織・チームへの匠Method均質浸透の支援
DrawIOモデル可視化機能	IT要求	21	匠Methodの各モデルをDrawIO形式で視覚化する重要機能であり、コンサル業務の効率向上に貢献するが、TSV等のテキスト形式でも最低限は確認可能	企画コンサル業務の工数を削減し、スループットを向上できること	モデリング自動生成による企画プロセスの加速
