IT要求	スコア	スコアの理由	関連する業務要求	関連する目的
モデル自動生成エンジン	89	サービスの根幹エンジンであり、企画アイデアからモデルを自動生成する業務要求の唯一の実現手段。これなくしてはサービス自体が成立しない	企画アイデアを入力すると即時にモデルを生成できること	モデリング自動生成による企画プロセスの加速
品質自動検証機能	34	匠Methodの品質基準に基づく自動検証の中核機能であり、人間のレビューでは規模・速度ともに代替困難な差別化要素	成果物の品質基準を定義し、自動検証によって安定した品質を担保できること	品質基準に基づく自動検証・改善提案の提供
企画書・計画書自動生成機能	34	モデリングから提案書・計画書までのエンドツーエンド一貫生成の中核機能であり、代替困難な差別化要素	企画モデルから提案書・計画書を一貫して自動生成できること	企画モデルから提案書・計画書までの一貫生成
シングルユーザー完結型ワークフロー機能	34	個人ユーザーが単独で全フェーズを順次完結するための統合ワークフロー基盤であり、匠Method民主化の中核を直接実現する	個人が単独で匠Methodの全フェーズを完結させられること	匠Methodの知見を誰でも活用できる民主化の実現
匠Method正確性保証エンジン	34	AIが生成した成果物が匠Methodを正確に体現しているかを検証するルールベースエンジンであり、メソッドの品質保証の根幹	AIエージェントが匠Methodを正確に体現した成果物を生成できること	品質基準に基づく自動検証・改善提案の提供
ファシリテーター業務自動化機能	34	モデリング作業の繰り返し工程をAIが代替する自動化パイプラインであり、業務負荷軽減の中核手段として手動では代替困難	AIがモデリング作業を代替し、ファシリテーターの業務負荷を軽減できること	ファシリテーターの本質的対話への集中支援
匠Methodナレッジ配信機能	34	匠Methodの知見を外部ユーザーに配信する中核基盤であり、知見の外部提供・流通という業務要求の中核的実現手段	匠Methodの知見をツールとして外部に提供・流通させられること	匠Methodの知見を誰でも活用できる民主化の実現
AIファシリテーション支援機能	34	対話内容からAIが企画モデルへの変換・整理を支援する機能であり、ファシリテーターの本質的対話集中の中核手段として代替困難	ファシリテーターが顧客との本質的な対話に集中できること	ファシリテーターの本質的対話への集中支援
ステップガイダンス表示機能	21	各フェーズでの判断基準を提示するガイダンスの主要手段であり、初心者の参入障壁を下げる重要機能だが、ドキュメント等で一部補完可能	各フェーズ・ステップで何を判断すべきかのガイダンスを提供できること	ステップガイドによる次アクション・判断基準の明確化
チーム共有・共同編集機能	21	チームでの企画モデル一元管理・共有の主要手段であり、組織浸透に重要だが、ファイル共有等で一部代替可能	チームで作成した企画モデルを一元管理・共有できること	組織・チームへの匠Method均質浸透の支援
DrawIOモデル可視化機能	21	匠Methodの各モデルをDrawIO形式で視覚化する重要機能であり、コンサル業務の効率向上に貢献するが、TSV等のテキスト形式でも最低限は確認可能	企画コンサル業務の工数を削減し、スループットを向上できること	モデリング自動生成による企画プロセスの加速
匠Method学習コンテンツ連携機能	21	ツール利用を通じた匠Method習熟の主要手段であり、インラインでの解説提示は学習体験の中核だが、外部教材で一部補完可能	ツールの利用を通じて匠Methodを学習・習熟できること	ステップガイドによる次アクション・判断基準の明確化
AI生成成果物レビュー機能	21	AIが生成した成果物をファシリテーターが確認・修正・承認するインターフェースであり、品質保証の主要手段だがテキストベースの確認でも一部代替可能	AIが生成した企画モデルの品質をファシリテーターが確認・保証できること	品質基準に基づく自動検証・改善提案の提供
